patent_id,country_code,title,assignee,author,priority_date,creation_date,publ_date,grant_date,result_link,fig_link
US-11074495-B2,US,System and method for extremely efficient image and pattern recognition and artificial intelligence platform ,"Z Advanced Computing, Inc. (Zac)","Lotfi A. Zadeh, Saied Tadayon, Bijan Tadayon",2013-02-28,2018-12-03,2021-07-27,2021-07-27,https://patents.google.com/patent/US11074495B2/en,https://patentimages.storage.googleapis.com/32/26/a3/7b3b4626d20225/US11074495-20210727-D00000.png
US-11238538-B1,US,Accident risk model determination using autonomous vehicle operating data ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2014-05-20,2019-07-11,2022-02-01,2022-02-01,https://patents.google.com/patent/US11238538B1/en,https://patentimages.storage.googleapis.com/13/8b/35/225f9a6508feb2/US11238538-20220201-D00000.png
CN-110782870-B,CN,"Speech synthesis method, device, electronic equipment and storage medium ",腾讯科技（深圳）有限公司,"杨兵, 陈凌辉, 钟佳琪",2019-09-06,2019-06-09,2023-06-16,2023-06-16,https://patents.google.com/patent/CN110782870B/en,https://patentimages.storage.googleapis.com/07/ed/8e/b2c8b72af4686f/HDA0002193314670000011.png
US-11871148-B1,US,Artificial intelligence communication assistance in audio-visual composition ,"Grammarly, Inc.","Oleksiy Shevchenko, Ayan Mandal, Bradley Jon Hoover, Joel Tetreault, Maksym Lytvyn, Dmytro Lider",2017-08-04,2021-07-12,2024-01-09,2024-01-09,https://patents.google.com/patent/US11871148B1/en,https://patentimages.storage.googleapis.com/31/5a/bf/ff28891d47fb66/US11871148-20240109-D00000.png
US-11904207-B2,US,Method and system for using artificial intelligence to present a user interface representing a user's progress in various domains ,"Rehab2Fit Technologies, Inc.","Michael Bissonnette, Luis Berga, Steven Mason, Philip Powers, James D. Steidl",2019-05-10,2021-06-08,2024-02-20,2024-02-20,https://patents.google.com/patent/US11904207B2/en,https://patentimages.storage.googleapis.com/94/02/5c/de1bc81c39bb91/US11904207-20240220-D00000.png
US-12102878-B2,US,Method and system for using artificial intelligence to determine a user's progress during interval training ,"Rehab2Fit Technologies, Inc.","Michael Bissonnette, Luis Berga, Steven Mason, Philip Powers, James D. Steidl",2019-05-10,2021-06-08,2024-10-01,2024-10-01,https://patents.google.com/patent/US12102878B2/en,https://patentimages.storage.googleapis.com/d6/5c/23/db22dcb8f58d7f/US12102878-20241001-D00000.png
US-10991463-B2,US,"Computer-implemented system and methods for predicting the health and therapeutic behavior of individuals using artificial intelligence, smart contracts and blockchain ","John D. Kutzko, Wayne C. A. Wright","John D. Kutzko, Wayne C. A. Wright",2018-05-18,2020-12-05,2021-04-27,2021-04-27,https://patents.google.com/patent/US10991463B2/en,https://patentimages.storage.googleapis.com/87/ef/36/9e3e21bbef210a/US10991463-20210427-D00000.png
US-11462304-B2,US,Artificial intelligence engine architecture for generating candidate drugs ,"Peptilogics, Inc.","Francis Lee, Jonathan D. STECKBECK, Hannes Holste",2020-02-12,2021-04-06,2022-10-04,2022-10-04,https://patents.google.com/patent/US11462304B2/en,https://patentimages.storage.googleapis.com/b5/9d/d9/5ee0f1662f4338/US11462304-20221004-D00001.png
US-11915815-B2,US,System and method for using artificial intelligence and machine learning and generic risk factors to improve cardiovascular health such that the need for additional cardiac interventions is mitigated ,"Rom Technologies, Inc.","Joel Rosenberg, Jay L. Waddell, Steven Mason",2019-10-03,2023-10-03,2024-02-27,2024-02-27,https://patents.google.com/patent/US11915815B2/en,https://patentimages.storage.googleapis.com/57/1f/52/5db51caeb3b827/US11915815-20240227-D00000.png
US-11995530-B2,US,Systems and methods for providing feedback for artificial intelligence-based image capture devices ,Google Llc,"Aaron Michael Donsbach, Christopher Breithaupt, Li Zhang, Arushan Rajasekaram, Navid Shiee",2018-10-08,2022-01-08,2024-05-28,2024-05-28,https://patents.google.com/patent/US11995530B2/en,https://patentimages.storage.googleapis.com/7e/15/0c/3d6e3ab58fd595/US11995530-20240528-D00000.png
US-11133111-B2,US,Methods and systems for an artificial intelligence support network for vibrant constitutional guidance ,"Kpn Innovations, Llc",Kenneth Neumann,2019-04-02,2020-03-01,2021-09-28,2021-09-28,https://patents.google.com/patent/US11133111B2/en,https://patentimages.storage.googleapis.com/66/3d/f0/f1d4c311d29b4d/US11133111-20210928-D00000.png
US-10984423-B2,US,Method of operating artificial intelligence machines to improve predictive model training and performance ,"Brighterion, Inc.",Akli Adjaoute,2014-10-15,2019-05-11,2021-04-20,2021-04-20,https://patents.google.com/patent/US10984423B2/en,https://patentimages.storage.googleapis.com/df/9e/0c/ad797bf7dd5af6/US10984423-20210420-D00000.png
CN-111310056-B,CN,"Information recommendation method, device, equipment and storage medium based on artificial intelligence ",深圳市雅阅科技有限公司,卢建东,2020-03-11,2020-11-03,2023-04-14,2023-04-14,https://patents.google.com/patent/CN111310056B/en,https://patentimages.storage.googleapis.com/67/b8/dc/cf8c425cb3d301/HDA0002407555870000011.png
US-12103522-B2,US,Operating a vehicle according to an artificial intelligence model ,"David E. Newman, R. Kemp Massengill","David E. Newman, R. Kemp Massengill",2016-04-11,2024-02-01,2024-10-01,2024-10-01,https://patents.google.com/patent/US12103522B2/en,https://patentimages.storage.googleapis.com/9b/51/90/defd85de142cd0/US12103522-20241001-D00000.png
US-11920943-B2,US,Systems and methods using artificial intelligence for routing electric vehicles ,Robert D. Pedersen,Robert D. Pedersen,2017-02-22,2022-11-07,2024-03-05,2024-03-05,https://patents.google.com/patent/US11920943B2/en,https://patentimages.storage.googleapis.com/68/91/0d/8e77f40f2e24f0/US11920943-20240305-D00000.png
US-11593588-B2,US,"Artificial intelligence apparatus for generating training data, artificial intelligence server, and method for the same ",Lg Electronics Inc.,"Jaehong Kim, Hyoeun Kim, Hyejeong Jeon, Heeyeon CHOI",2019-08-27,2019-04-10,2023-02-28,2023-02-28,https://patents.google.com/patent/US11593588B2/en,https://patentimages.storage.googleapis.com/b4/d3/f1/4ad49d27feac6b/US11593588-20230228-D00000.png
KR-102322644-B1,KR,System for providing safety guide of work site using artificial intelligence ,"주식회사 케이씨씨건설, 에이클시스템 주식회사","이길호, 박재현, 김지원, 김영환, 이상주, 이주원",2020-12-23,2021-09-04,2021-11-09,2021-11-09,https://patents.google.com/patent/KR102322644B1/en,https://patentimages.storage.googleapis.com/77/93/07/33b882851b7353/112021041987163-pat00016.png
US-11461702-B2,US,Method and system for fairness in artificial intelligence based decision making engines ,Bank Of America Corporation,Eren Kursun,2018-12-04,2018-04-12,2022-10-04,2022-10-04,https://patents.google.com/patent/US11461702B2/en,https://patentimages.storage.googleapis.com/50/32/8c/79d76a06626ee3/US11461702-20221004-D00000.png
CN-110490251-B,CN,Artificial intelligence-based prediction classification model obtaining method and device and storage medium ,腾讯科技（深圳）有限公司,"刘续乐, 杨巍, 孙钟前, 胡海峰",2019-03-08,2019-08-03,2022-07-01,2022-07-01,https://patents.google.com/patent/CN110490251B/en,https://patentimages.storage.googleapis.com/b2/1b/3c/8b8d16ce527fde/HDA0002169760600000011.png
US-11825033-B2,US,Apparatus and method with artificial intelligence for scaling image data ,"Samsung Electronics Co., Ltd.","Taejun PARK, SangJo Lee, Sangkwon Na",2018-08-10,2021-07-10,2023-11-21,2023-11-21,https://patents.google.com/patent/US11825033B2/en,https://patentimages.storage.googleapis.com/9e/b6/7e/665fa01f040de4/US11825033-20231121-D00000.png
CN-110285532-B,CN,"Machine room air conditioner control method, device and system based on artificial intelligence ",中国工商银行股份有限公司,"张志鹏, 龚慧钦, 陈庆",2019-07-04,2019-04-07,2021-07-30,2021-07-30,https://patents.google.com/patent/CN110285532B/en,https://patentimages.storage.googleapis.com/b5/88/f4/d22ce96c95c19d/HDA0002118490460000011.png
CN-111160335-B,CN,Image watermark processing method and device based on artificial intelligence and electronic equipment ,腾讯科技（深圳）有限公司,诸加丹,2020-01-02,2020-02-01,2023-07-04,2023-07-04,https://patents.google.com/patent/CN111160335B/en,https://patentimages.storage.googleapis.com/3e/d6/f6/448e3622954464/HDA0002353791260000011.png
EP-3752899-B1,EP,Systems and methods for interacting and interfacing with an artificial intelligence system ,Google LLC,"Robert Marchant, David Matthew Jones, Henry John Holland, Alexander George Hulme, Fiona Paula O'leary, Julie Mareva Arrive",2018-07-02,2019-02-07,2024-05-22,2024-05-22,https://patents.google.com/patent/EP3752899B1/en,https://patentimages.storage.googleapis.com/8c/fa/f9/6209d88a39cea7/imgf0001.png
US-12079714-B2,US,Methods and systems for an artificial intelligence advisory system for textual analysis ,"Kpn Innovations, Llc",Kenneth Neumann,2019-07-03,2019-03-07,2024-09-03,2024-09-03,https://patents.google.com/patent/US12079714B2/en,https://patentimages.storage.googleapis.com/11/57/d8/c8c2913af29e63/US12079714-20240903-D00000.png
KR-101964733-B1,KR,"Personalized health care system based on block chain and artificial intelligence, and method for providing personalized health care service based on block chain and artificial intelligence using the same ",주식회사 아롬정보기술,송중구,2018-08-09,2018-09-08,2019-04-02,2019-04-02,https://patents.google.com/patent/KR101964733B1/en,https://patentimages.storage.googleapis.com/17/c9/4d/a7862ec27e6bf4/112018078886213-pat00001.png
US-12016644-B2,US,Artificial intelligence guidance system for robotic surgery ,"Intuitive Surgical Operations, Inc.","Jeffrey Roh, Justin Esterberg",2018-02-27,2023-03-04,2024-06-25,2024-06-25,https://patents.google.com/patent/US12016644B2/en,https://patentimages.storage.googleapis.com/05/ed/b2/4333f076e9d82f/US12016644-20240625-D00000.png
US-11748128-B2,US,Flexible artificial intelligence agent infrastructure for adapting processing of a shell ,International Business Machines Corporation,"Tathagata Chakraborti, Mayank Agarwal, Eli M. Dow, Kartik Talamadupula, Kshitij Fadnis, Jorge J. Barroso Carmona, Borja Godoy",2019-12-05,2019-05-12,2023-09-05,2023-09-05,https://patents.google.com/patent/US11748128B2/en,https://patentimages.storage.googleapis.com/40/7b/c5/73142909ac12b3/US11748128-20230905-D00000.png
US-11957960-B2,US,Method and system for using artificial intelligence to adjust pedal resistance ,Rehab2Fit Technologies Inc.,"Michael Bissonnette, Luis Berga, Steven Mason, Philip Powers, James D. Steidl",2019-05-10,2021-06-08,2024-04-16,2024-04-16,https://patents.google.com/patent/US11957960B2/en,https://patentimages.storage.googleapis.com/70/17/85/39f1cc9bf8dc00/US11957960-20240416-D00000.png
US-11977995-B2,US,Machine learning artificial intelligence system for predicting hours of operation ,"Capital One Services, Llc","Ashish Bansal, Jonathan STAHLMAN",2017-04-20,2022-02-02,2024-05-07,2024-05-07,https://patents.google.com/patent/US11977995B2/en,https://patentimages.storage.googleapis.com/eb/16/5b/9a627500096e34/US11977995-20240507-D00000.png
US-12062426-B2,US,Ultrasound image recognition systems and methods utilizing an artificial intelligence network ,"EchoNous, Inc.","Nikolaos Pagoulatos, Ramachandra Pailoor, Kevin Goodwin",2016-03-09,2021-12-03,2024-08-13,2024-08-13,https://patents.google.com/patent/US12062426B2/en,https://patentimages.storage.googleapis.com/16/10/05/bb7ccee0dedcf4/US12062426-20240813-D00000.png
US-11301951-B2,US,Game engine and artificial intelligence engine on a chip ,The Calany Holding S. À R.L.,Cevat Yerli,2018-03-15,2019-11-03,2022-04-12,2022-04-12,https://patents.google.com/patent/US11301951B2/en,https://patentimages.storage.googleapis.com/12/a5/80/e8c8c833f48c5a/US11301951-20220412-D00000.png
US-11568480-B2,US,Artificial intelligence derived anonymous marketplace ,"Cerebro Capital, Inc.","Matthew C. Bjonerud, Kevin Dieter",2017-10-03,2018-02-10,2023-01-31,2023-01-31,https://patents.google.com/patent/US11568480B2/en,https://patentimages.storage.googleapis.com/f1/60/4c/2cb050dba2b8d4/US11568480-20230131-D00000.png
CN-110850020-B,CN,Traditional Chinese medicine identification method based on artificial intelligence ,中国药科大学,"余伯阳, 何正大, 戚进",2019-11-11,2019-11-11,2022-03-29,2022-03-29,https://patents.google.com/patent/CN110850020B/en,https://patentimages.storage.googleapis.com/c4/a8/54/4128e048885d7f/HDA0002268210290000011.png
JP-7121214-B2,JP,Adaptive artificial intelligence for user training and task management ,アクセンチュア グローバル ソリューションズ リミテッド,"ボーエン，シェヘラザード, コルコラン，メッド, ボグダン サカレヌ，オイゲン, リベラ コスタグーティ，アスカニオ アファン デ, ダガン，ノイリン",2018-09-28,2022-05-04,2022-08-17,2022-08-17,https://patents.google.com/patent/JP7121214B2/en,https://patentimages.storage.googleapis.com/07/e0/f3/ba3acc8ceadcac/0007121214000001.png
US-11709854-B2,US,Artificial intelligence based smart data engine ,Bank Of America Corporation,"Nitin Saraswat, Rishi Jhamb",2018-01-02,2018-02-01,2023-07-25,2023-07-25,https://patents.google.com/patent/US11709854B2/en,https://patentimages.storage.googleapis.com/ed/5b/1e/9cbc52c806a95f/US11709854-20230725-D00000.png
KR-101930062-B1,KR,Automatic stepwise tooth movement system using artificial intelligence technology ,클리어라인 주식회사,"강제훈, 강권석, 김의중",2017-12-27,2018-01-02,2019-03-14,2019-03-14,https://patents.google.com/patent/KR101930062B1/en,https://patentimages.storage.googleapis.com/d6/ee/c7/a95b17c8fde273/112018011760356-pat00002.png
CN-109618068-B,CN,"Voice service pushing method, device and system based on artificial intelligence ",上海航动科技有限公司,朱宇光,2018-11-08,2018-08-11,2021-04-16,2021-04-16,https://patents.google.com/patent/CN109618068B/en,https://patentimages.storage.googleapis.com/4b/9e/09/03aa41ccc415a1/HDA0001858121850000011.png
US-11151177-B2,US,Search method and apparatus based on artificial intelligence ,"Beijing Baidu Netcom Science And Technology Co., Ltd.","Yukun LI, Yi Liu, Yu Sun, Dianhai YU",2017-08-28,2018-03-08,2021-10-19,2021-10-19,https://patents.google.com/patent/US11151177B2/en,https://patentimages.storage.googleapis.com/de/f2/65/d149ede6659d5f/US11151177-20211019-D00000.png
KR-102043563-B1,KR,Artificial intelligence based qa and expert recommendation hybrid service system ,주식회사 인텔리콘 연구소,임영익,2018-08-09,2018-09-08,2019-11-12,2019-11-12,https://patents.google.com/patent/KR102043563B1/en,https://patentimages.storage.googleapis.com/c4/a2/fe/ddc67c751bf472/112018078977281-pat00001.png
CN-111177569-B,CN,"Recommendation processing method, device and equipment based on artificial intelligence ",腾讯科技（深圳）有限公司,侯皓文,2020-01-07,2020-07-01,2021-06-11,2021-06-11,https://patents.google.com/patent/CN111177569B/en,https://patentimages.storage.googleapis.com/a2/4c/9b/4b1fd57a20262d/HDA0002358590020000011.png
US-11467588-B2,US,Systems and methods for controlling an autonomous vehicle using target orientated artificial intelligence ,"Denso International America, Inc., Denso Corporation",Prasanna Kumar SIVAKUMAR,2019-07-03,2019-03-07,2022-10-11,2022-10-11,https://patents.google.com/patent/US11467588B2/en,https://patentimages.storage.googleapis.com/e6/1a/40/56514609b8f164/US11467588-20221011-D00000.png
US-11393491-B2,US,Artificial intelligence device capable of controlling operation of another device and method of operating the same ,Lg Electronics Inc.,"Jongwoo Han, Hangil JEONG, Heeyeon CHOI",2019-06-04,2019-04-06,2022-07-19,2022-07-19,https://patents.google.com/patent/US11393491B2/en,https://patentimages.storage.googleapis.com/bc/9d/98/79b89dcaaf9288/US11393491-20220719-D00000.png
KR-101936218-B1,KR,Artificial intelligence learning-based ready-mixed concrete production system ,"주식회사 삼표, 주식회사 삼표산업","박민용, 임춘식",2018-07-11,2018-11-07,2019-01-08,2019-01-08,https://patents.google.com/patent/KR101936218B1/en,https://patentimages.storage.googleapis.com/c6/6c/c4/26da33560e4adf/112018068258901-pat00001.png
CN-112052787-B,CN,Target detection method and device based on artificial intelligence and electronic equipment ,腾讯科技（深圳）有限公司,金肖莹,2020-09-03,2020-03-09,2021-07-30,2021-07-30,https://patents.google.com/patent/CN112052787B/en,https://patentimages.storage.googleapis.com/28/80/2a/e655785bdc9ff2/HDA0002664336580000011.png
TW-I746038-B,TW,Neural network-like artificial intelligence decision-making core system ,阿證科技股份有限公司,陳朝煌,2020-07-02,2020-02-07,2021-11-11,2021-11-11,https://patents.google.com/patent/TWI746038B/en,https://patentimages.storage.googleapis.com/bf/e9/ae/b46bb251d5f041/109122440-A0305-03-0001-2.png
US-11234629-B2,US,Method and device for self-learning dynamic electrocardiography analysis employing artificial intelligence ,"Shanghai Lepu CloudMed Co., Ltd.","Chang Liu, Chuanyan Hu, Weiwei Zhou, Haitao Lu, Jiayu Wang, Jun Cao",2017-11-27,2018-12-01,2022-02-01,2022-02-01,https://patents.google.com/patent/US11234629B2/en,https://patentimages.storage.googleapis.com/d5/27/c3/517ee3f6e79b39/US11234629-20220201-D00000.png
CN-111027714-B,CN,"Artificial intelligence-based object recommendation model training method, recommendation method and device ",腾讯科技（深圳）有限公司,薛炜辰,2019-12-11,2019-11-12,2023-03-14,2023-03-14,https://patents.google.com/patent/CN111027714B/en,https://patentimages.storage.googleapis.com/92/2f/7c/43e6285578578e/HDA0002313233070000011.png
KR-102177970-B1,KR,Artificial intelligence laundry drying machine ,엘지전자 주식회사,"채종훈, 박에스더",2019-08-09,2019-09-08,2020-11-12,2020-11-12,https://patents.google.com/patent/KR102177970B1/en,https://patentimages.storage.googleapis.com/28/d3/e6/2207d21ffb3868/112019082005199-pat00001.png
JP-7187430-B2,JP,Systems and methods for determining disease progression from detection output of artificial intelligence ,ゼネラル・エレクトリック・カンパニイ,"ケイトリン・ナイ, ギレーシャ・ラオ, ゴパル・アヴィナシュ, クリストファー・オースティン",2018-12-27,2019-10-12,2022-12-12,2022-12-12,https://patents.google.com/patent/JP7187430B2/en,https://patentimages.storage.googleapis.com/6d/1b/0e/66b80eb8b9a3df/0007187430000002.png
KR-102196793-B1,KR,Non-face-to-face training system using artificial intelligence ,이영규,이영규,2020-09-10,2020-10-09,2020-12-30,2020-12-30,https://patents.google.com/patent/KR102196793B1/en,https://patentimages.storage.googleapis.com/38/15/a7/a7df40fa3f5f91/112020095879453-pat00001.png
US-11538289-B2,US,"Artificial intelligence device mounted on vehicle to perform self-diagnosis, and method for the same ",Lg Electronics Inc.,"Jaehong Kim, Heeyeon CHOI",2019-07-23,2019-02-10,2022-12-27,2022-12-27,https://patents.google.com/patent/US11538289B2/en,https://patentimages.storage.googleapis.com/c4/9b/3a/cbe083a3c1b955/US11538289-20221227-D00000.png
CN-110891124-B,CN,System for artificial intelligence pick-up call ,厦门韭黄科技有限公司,林欣扬,2019-12-11,2019-11-12,2021-04-23,2021-04-23,https://patents.google.com/patent/CN110891124B/en,https://patentimages.storage.googleapis.com/9d/a5/66/80fa16d935cae5/HDA0002313704380000011.png
KR-102298582-B1,KR,Artificial intelligence robot for determining cleaning route using sensor data and method for the same ,엘지전자 주식회사,"채승아, 김고근, 김수연, 이가민",2019-07-12,2019-12-07,2021-09-08,2021-09-08,https://patents.google.com/patent/KR102298582B1/en,https://patentimages.storage.googleapis.com/20/f0/a1/ca4c12a3200ce4/112019071802631-pat00001.png
US-11461664-B2,US,Methods and systems for an artificial intelligence alimentary professional support network for vibrant constitutional guidance ,"Kpn Innovations, Llc.",Kenneth Neumann,2019-05-07,2019-07-05,2022-10-04,2022-10-04,https://patents.google.com/patent/US11461664B2/en,https://patentimages.storage.googleapis.com/33/d1/00/ce41a28034702e/US11461664-20221004-D00000.png
KR-102188766-B1,KR,Apparatus for providing artificial intelligence based health care service ,주식회사 글로벌비즈텍,김남재,2020-03-09,2020-09-03,2020-12-11,2020-12-11,https://patents.google.com/patent/KR102188766B1/en,https://patentimages.storage.googleapis.com/dd/fd/c8/e45af2703bad7e/112020024886060-pat00005.png
